states,cov,features,splits,ll_train_per_obs_mean,ll_train_per_obs_median,AIC_mean,BIC_mean,ll_val_per_obs_mean,ll_val_per_obs_median,ll_test_per_obs_mean,ll_test_per_obs_median,config_id
5,full,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",1,-2.9015828922871694,-2.9015828922871694,1160881.1569148677,1162146.7099229135,-2.1655314495217657,-2.1655314495217657,-3.3603812297021474,-3.3603812297021474,st5_full_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
4,full,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",1,-3.310311741515177,-3.310311741515177,1324314.6966060707,1325284.273507396,-2.583261529001276,-2.583261529001276,-3.6356083960880996,-3.6356083960880996,st4_full_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
3,full,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",1,-3.5073432594718423,-3.5073432594718423,1403073.303788737,1403767.316728633,-2.77837194361296,-2.77837194361296,-3.8402034327974586,-3.8402034327974586,st3_full_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
2,full,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",1,-4.105718123027856,-4.105718123027856,1642373.2492111423,1642812.1103349002,-3.4013191118575192,-3.4013191118575192,-4.326774119388779,-4.326774119388779,st2_full_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
5,diag,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",1,-4.194934348138412,-4.194934348138412,1678121.739255365,1678876.9886311342,-3.580724799362022,-3.580724799362022,-4.6723361007590425,-4.6723361007590425,st5_diag_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
4,diag,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",1,-4.545153092087086,-4.545153092087086,1818171.2368348346,1818732.5708303386,-3.9018540733686646,-3.9018540733686646,-5.0006233693100866,-5.0006233693100866,st4_diag_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
3,diag,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",1,-5.146816832170916,-5.146816832170916,2058802.7328683662,2059190.5636288964,-4.454240489275769,-4.454240489275769,-5.5358156011276565,-5.5358156011276565,st3_diag_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
2,diag,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",1,-5.735716517769421,-5.735716517769421,2294332.6071077683,2294567.3467786154,-5.045595208816532,-5.045595208816532,-6.147351606259063,-6.147351606259063,st2_diag_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
