states,cov,features,splits,ll_train_per_obs_mean,ll_train_per_obs_median,AIC_mean,BIC_mean,ll_val_per_obs_mean,ll_val_per_obs_median,ll_test_per_obs_mean,ll_test_per_obs_median,config_id
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'dist_min20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos']",1,-7.637258078089184,-7.637258078089184,3055243.2312356737,3056978.263585414,-7.214966505808698,-7.214966505808698,-8.288654810326937,-8.288654810326937,st3_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-dist_min20-macd_signal-dow_sin-hour_sin-dow_cos
3,full,"['ret_log', 'range_hl', 'log_volume', 'dist_max20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.7044434538642514,-7.7044434538642514,3082117.3815457006,3083852.4138954408,-7.311306752386489,-7.311306752386489,-7.998961365186654,-7.998961365186654,st3_full_ret_log-range_hl-log_volume-dist_max20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'hour_cos', 'dist_max20', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.76302727961663,-7.76302727961663,3105550.911846652,3107285.9441963923,-7.3143261360870095,-7.3143261360870095,-8.196115765083752,-8.196115765083752,st3_full_rolling_std_1d-ret_log-rolling_std_1h-hour_cos-dist_max20-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'dist_max20', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.788985289303579,-7.788985289303579,3115934.1157214316,3117669.1480711717,-7.32464180259381,-7.32464180259381,-8.126634533229161,-8.126634533229161,st3_full_rolling_std_1d-ret_log-range_hl-hour_cos-dist_max20-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'hour_cos', 'dist_max20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.800713121810277,-7.800713121810277,3120625.248724111,3122360.281073851,-7.361603483282343,-7.361603483282343,-8.171570217151265,-8.171570217151265,st3_full_rolling_std_1d-ret_log-hour_cos-dist_max20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'dow_cos', 'adx']",1,-7.642761846418845,-7.642761846418845,3057444.738567538,3059179.7709172782,-7.403561613726068,-7.403561613726068,-8.269628119192374,-8.269628119192374,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd-dow_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'dow_cos', 'adx']",1,-7.666378590588755,-7.666378590588755,3066891.436235502,3068626.468585242,-7.425560802586213,-7.425560802586213,-8.292701787407042,-8.292701787407042,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'hour_cos', 'dist_min20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.878578237080651,-7.878578237080651,3151771.2948322603,3153506.3271820005,-7.474027870181495,-7.474027870181495,-8.181602305609713,-8.181602305609713,st3_full_rolling_std_1d-ret_log-hour_cos-dist_min20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.961123277957921,-7.961123277957921,3184789.3111831686,3186524.3435329087,-7.486064015297287,-7.486064015297287,-8.299066363577364,-8.299066363577364,st3_full_rolling_std_1d-ret_log-rolling_std_1h-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'macd', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.970636337746662,-7.970636337746662,3188594.5350986645,3190329.5674484046,-7.48753310299919,-7.48753310299919,-8.206789975988626,-8.206789975988626,st3_full_rolling_std_1d-ret_log-range_hl-hour_cos-macd-dow_sin-hour_sin-dow_cos-adx
