split,states,cov,n_iter,seed,features,n_params,ll_train,ll_train_per_obs,AIC,BIC,ll_val,ll_val_per_obs,ll_test,ll_test_per_obs,config_id
1,2,diag,200,42,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",23,-1147143.3035538842,-5.735716517769421,2294332.6071077683,2294567.3467786154,-252279.76044082656,-5.045595208816532,-307367.58031295316,-6.147351606259063,st2_diag_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
1,2,full,200,42,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",43,-821143.6246055712,-4.105718123027856,1642373.2492111423,1642812.1103349002,-170065.95559287595,-3.4013191118575192,-216338.70596943898,-4.326774119388779,st2_full_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
1,3,diag,200,42,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",38,-1029363.3664341831,-5.146816832170916,2058802.7328683662,2059190.5636288964,-222712.02446378843,-4.454240489275769,-276790.7800563828,-5.5358156011276565,st3_diag_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
1,3,full,200,42,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",68,-701468.6518943685,-3.5073432594718423,1403073.303788737,1403767.316728633,-138918.597180648,-2.77837194361296,-192010.17163987292,-3.8402034327974586,st3_full_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
1,4,full,200,42,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",95,-662062.3483030354,-3.310311741515177,1324314.6966060707,1325284.273507396,-129163.0764500638,-2.583261529001276,-181780.41980440498,-3.6356083960880996,st4_full_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
1,4,diag,200,42,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",55,-909030.6184174173,-4.545153092087086,1818171.2368348346,1818732.5708303386,-195092.70366843324,-3.9018540733686646,-250031.1684655043,-5.0006233693100866,st4_diag_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
1,5,diag,200,42,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",74,-838986.8696276825,-4.194934348138412,1678121.739255365,1678876.9886311342,-179036.2399681011,-3.580724799362022,-233616.80503795212,-4.6723361007590425,st5_diag_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
1,5,full,200,42,"['pca_volatilidad', 'pca_momentum', 'pca_volumen', 'pca_tendencia', 'log_return']",124,-580316.5784574338,-2.9015828922871694,1160881.1569148677,1162146.7099229135,-108276.57247608829,-2.1655314495217657,-168019.06148510738,-3.3603812297021474,st5_full_pca_volatilidad-pca_momentum-pca_volumen-pca_tendencia-log_return
