split,states,cov,n_iter,seed,features,n_params,ll_train,ll_train_per_obs,AIC,BIC,ll_val,ll_val_per_obs,ll_test,ll_test_per_obs,config_id
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",68,-2520941.368216323,-12.604706841081615,5042018.736432646,5042712.749372543,-608719.3876136906,-12.17438775227381,-651397.1282742493,-13.027942565484985,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",133,-2544966.2969872397,-12.724831484936198,5090198.5939744795,5091556.001636335,-611043.1784026467,-12.220863568052934,-653193.9284455075,-13.06387856891015,st2_full_rolling_std_1d-ret_log-rolling_std_1h-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",68,-2484688.322905248,-12.42344161452624,4969512.645810496,4970206.6587503925,-596298.7796113095,-11.925975592226191,-634709.6185338972,-12.694192370677944,st3_diag_rolling_std_1d-ret_log-range_hl-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",133,-2497958.050225226,-12.48979025112613,4996182.100450452,4997539.508112308,-605475.1841339108,-12.109503682678216,-659858.1865781405,-13.19716373156281,st2_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",43,-2551877.281189065,-12.759386405945325,5103840.56237813,5104279.423501887,-621901.8638956497,-12.438037277912994,-658364.3019387248,-13.167286038774497,st2_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd-dow_sin-hour_sin-dow_cos-adx
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",203,-1859991.0418905127,-9.299955209452563,3720388.0837810254,3722459.916528068,-446969.4828945509,-8.939389657891018,-490063.1393855822,-9.801262787711643,st3_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",203,-2444180.517339179,-12.220902586695894,4888767.034678358,4890838.8674254,-586367.4158557917,-11.727348317115833,-622706.9318214406,-12.454138636428812,st3_full_rolling_std_1d-ret_log-range_hl-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",43,-2562659.8570021377,-12.813299285010688,5125405.714004275,5125844.575128033,-631094.381031794,-12.62188762063588,-664518.8634082988,-13.290377268165976,st2_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",203,-2420841.3605391067,-12.104206802695533,4842088.721078213,4844160.5538252555,-589834.673055143,-11.79669346110286,-633998.4199343078,-12.679968398686157,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",133,-2497260.3048047116,-12.486301524023558,4994786.609609423,4996144.017271278,-612058.4287240126,-12.241168574480252,-657059.9468749993,-13.141198937499986,st2_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
